SIZE_OF_LEVEL 960 5540
PLAYER_POSITION 200 5460
NEW_BLOCK COLLIDE_BLOCK 0 267
NEW_BLOCK COLLIDE_BLOCK 0 268
NEW_BLOCK COLLIDE_BLOCK 0 269
NEW_BLOCK COLLIDE_BLOCK 0 270
NEW_BLOCK COLLIDE_BLOCK 0 271
NEW_BLOCK COLLIDE_BLOCK 0 272
NEW_BLOCK COLLIDE_BLOCK 0 273
NEW_BLOCK COLLIDE_BLOCK 0 274
NEW_BLOCK COLLIDE_BLOCK 0 275
NEW_BLOCK COLLIDE_BLOCK 0 276
NEW_BLOCK COLLIDE_BLOCK 1 267
NEW_BLOCK COLLIDE_BLOCK 1 268
NEW_BLOCK COLLIDE_BLOCK 1 269
NEW_BLOCK COLLIDE_BLOCK 1 270
NEW_BLOCK COLLIDE_BLOCK 1 271
NEW_BLOCK COLLIDE_BLOCK 1 272
NEW_BLOCK COLLIDE_BLOCK 1 273
NEW_BLOCK COLLIDE_BLOCK 1 274
NEW_BLOCK COLLIDE_BLOCK 1 275
NEW_BLOCK COLLIDE_BLOCK 1 276
NEW_BLOCK COLLIDE_BLOCK 2 267
NEW_BLOCK COLLIDE_BLOCK 2 268
NEW_BLOCK COLLIDE_BLOCK 2 269
NEW_BLOCK COLLIDE_BLOCK 2 270
NEW_BLOCK COLLIDE_BLOCK 2 271
NEW_BLOCK COLLIDE_BLOCK 2 272
NEW_BLOCK COLLIDE_BLOCK 2 273
NEW_BLOCK COLLIDE_BLOCK 2 274
NEW_BLOCK COLLIDE_BLOCK 2 275
NEW_BLOCK COLLIDE_BLOCK 2 276
NEW_BLOCK COLLIDE_BLOCK 3 267
NEW_BLOCK COLLIDE_BLOCK 3 268
NEW_BLOCK COLLIDE_BLOCK 3 269
NEW_BLOCK COLLIDE_BLOCK 3 270
NEW_BLOCK COLLIDE_BLOCK 3 271
NEW_BLOCK COLLIDE_BLOCK 3 272
NEW_BLOCK COLLIDE_BLOCK 3 273
NEW_BLOCK COLLIDE_BLOCK 3 274
NEW_BLOCK COLLIDE_BLOCK 3 275
NEW_BLOCK COLLIDE_BLOCK 3 276
NEW_BLOCK COLLIDE_BLOCK 4 267
NEW_BLOCK COLLIDE_BLOCK 4 268
NEW_BLOCK COLLIDE_BLOCK 4 269
NEW_BLOCK COLLIDE_BLOCK 4 270
NEW_BLOCK COLLIDE_BLOCK 4 271
NEW_BLOCK COLLIDE_BLOCK 4 272
NEW_BLOCK COLLIDE_BLOCK 4 273
NEW_BLOCK COLLIDE_BLOCK 4 274
NEW_BLOCK COLLIDE_BLOCK 4 275
NEW_BLOCK COLLIDE_BLOCK 4 276
NEW_BLOCK COLLIDE_BLOCK 5 267
NEW_BLOCK COLLIDE_BLOCK 5 268
NEW_BLOCK COLLIDE_BLOCK 5 269
NEW_BLOCK COLLIDE_BLOCK 5 270
NEW_BLOCK COLLIDE_BLOCK 5 271
NEW_BLOCK COLLIDE_BLOCK 5 272
NEW_BLOCK COLLIDE_BLOCK 5 273
NEW_BLOCK COLLIDE_BLOCK 5 274
NEW_BLOCK COLLIDE_BLOCK 5 275
NEW_BLOCK COLLIDE_BLOCK 5 276
NEW_BLOCK COLLIDE_BLOCK 6 267
NEW_BLOCK COLLIDE_BLOCK 6 268
NEW_BLOCK COLLIDE_BLOCK 6 269
NEW_BLOCK COLLIDE_BLOCK 6 270
NEW_BLOCK COLLIDE_BLOCK 6 271
NEW_BLOCK COLLIDE_BLOCK 6 272
NEW_BLOCK COLLIDE_BLOCK 6 273
NEW_BLOCK COLLIDE_BLOCK 6 274
NEW_BLOCK COLLIDE_BLOCK 6 275
NEW_BLOCK COLLIDE_BLOCK 6 276
NEW_BLOCK COLLIDE_BLOCK 7 267
NEW_BLOCK COLLIDE_BLOCK 7 268
NEW_BLOCK COLLIDE_BLOCK 7 269
NEW_BLOCK COLLIDE_BLOCK 7 270
NEW_BLOCK COLLIDE_BLOCK 7 271
NEW_BLOCK COLLIDE_BLOCK 7 272
NEW_BLOCK COLLIDE_BLOCK 7 273
NEW_BLOCK COLLIDE_BLOCK 7 274
NEW_BLOCK COLLIDE_BLOCK 7 275
NEW_BLOCK COLLIDE_BLOCK 7 276
NEW_BLOCK COLLIDE_BLOCK 31 261
NEW_BLOCK COLLIDE_BLOCK 31 262
NEW_BLOCK COLLIDE_BLOCK 31 263
NEW_BLOCK COLLIDE_BLOCK 31 264
NEW_BLOCK COLLIDE_BLOCK 31 265
NEW_BLOCK COLLIDE_BLOCK 31 266
NEW_BLOCK COLLIDE_BLOCK 31 267
NEW_BLOCK COLLIDE_BLOCK 31 268
NEW_BLOCK COLLIDE_BLOCK 31 269
NEW_BLOCK COLLIDE_BLOCK 31 270
NEW_BLOCK COLLIDE_BLOCK 31 271
NEW_BLOCK COLLIDE_BLOCK 31 272
NEW_BLOCK COLLIDE_BLOCK 31 273
NEW_BLOCK COLLIDE_BLOCK 31 274
NEW_BLOCK COLLIDE_BLOCK 31 275
NEW_BLOCK COLLIDE_BLOCK 31 276
NEW_BLOCK COLLIDE_BLOCK 32 261
NEW_BLOCK COLLIDE_BLOCK 33 261
NEW_BLOCK COLLIDE_BLOCK 34 261
NEW_BLOCK FINISH_BLOCK 34 275
NEW_BLOCK COLLIDE_BLOCK 35 261
NEW_BLOCK COLLIDE_BLOCK 36 261
NEW_BLOCK COLLIDE_BLOCK 37 261
NEW_BLOCK COLLIDE_BLOCK 38 261
NEW_BLOCK COLLIDE_BLOCK 39 261
NEW_BLOCK COLLIDE_BLOCK 40 261
NEW_BLOCK COLLIDE_BLOCK 41 261
NEW_BLOCK COLLIDE_BLOCK 42 261
NEW_BLOCK COLLIDE_BLOCK 43 261
NEW_BLOCK COLLIDE_BLOCK 44 261
NEW_BLOCK COLLIDE_BLOCK 45 261
NEW_BLOCK COLLIDE_BLOCK 47 0
NEW_BLOCK COLLIDE_BLOCK 47 1
NEW_BLOCK COLLIDE_BLOCK 47 2
NEW_BLOCK COLLIDE_BLOCK 47 3
NEW_BLOCK COLLIDE_BLOCK 47 4
NEW_BLOCK COLLIDE_BLOCK 47 5
NEW_BLOCK COLLIDE_BLOCK 47 6
NEW_BLOCK COLLIDE_BLOCK 47 7
NEW_BLOCK COLLIDE_BLOCK 47 8
NEW_BLOCK COLLIDE_BLOCK 47 9
NEW_BLOCK COLLIDE_BLOCK 47 10
NEW_BLOCK COLLIDE_BLOCK 47 11
NEW_BLOCK COLLIDE_BLOCK 47 12
NEW_BLOCK COLLIDE_BLOCK 47 13
NEW_BLOCK COLLIDE_BLOCK 47 14
NEW_BLOCK COLLIDE_BLOCK 47 15
NEW_BLOCK COLLIDE_BLOCK 47 16
NEW_BLOCK COLLIDE_BLOCK 47 17
NEW_BLOCK COLLIDE_BLOCK 47 18
NEW_BLOCK COLLIDE_BLOCK 47 19
NEW_BLOCK COLLIDE_BLOCK 47 20
NEW_BLOCK COLLIDE_BLOCK 47 21
NEW_BLOCK COLLIDE_BLOCK 47 22
NEW_BLOCK COLLIDE_BLOCK 47 23
NEW_BLOCK COLLIDE_BLOCK 47 24
NEW_BLOCK COLLIDE_BLOCK 47 25
NEW_BLOCK COLLIDE_BLOCK 47 26
NEW_BLOCK COLLIDE_BLOCK 47 27
NEW_BLOCK COLLIDE_BLOCK 47 28
NEW_BLOCK COLLIDE_BLOCK 47 29
NEW_BLOCK COLLIDE_BLOCK 47 30
NEW_BLOCK COLLIDE_BLOCK 47 31
NEW_BLOCK COLLIDE_BLOCK 47 32
NEW_BLOCK COLLIDE_BLOCK 47 33
NEW_BLOCK COLLIDE_BLOCK 47 34
NEW_BLOCK COLLIDE_BLOCK 47 35
NEW_BLOCK COLLIDE_BLOCK 47 36
NEW_BLOCK COLLIDE_BLOCK 47 37
NEW_BLOCK COLLIDE_BLOCK 47 38
NEW_BLOCK COLLIDE_BLOCK 47 39
NEW_BLOCK COLLIDE_BLOCK 47 40
NEW_BLOCK COLLIDE_BLOCK 47 41
NEW_BLOCK COLLIDE_BLOCK 47 42
NEW_BLOCK COLLIDE_BLOCK 47 43
NEW_BLOCK COLLIDE_BLOCK 47 44
NEW_BLOCK COLLIDE_BLOCK 47 45
NEW_BLOCK COLLIDE_BLOCK 47 46
NEW_BLOCK COLLIDE_BLOCK 47 47
NEW_BLOCK COLLIDE_BLOCK 47 48
NEW_BLOCK COLLIDE_BLOCK 47 49
NEW_BLOCK COLLIDE_BLOCK 47 50
NEW_BLOCK COLLIDE_BLOCK 47 51
NEW_BLOCK COLLIDE_BLOCK 47 52
NEW_BLOCK COLLIDE_BLOCK 47 53
NEW_BLOCK COLLIDE_BLOCK 47 54
NEW_BLOCK COLLIDE_BLOCK 47 55
NEW_BLOCK COLLIDE_BLOCK 47 56
NEW_BLOCK COLLIDE_BLOCK 47 57
NEW_BLOCK COLLIDE_BLOCK 47 58
NEW_BLOCK COLLIDE_BLOCK 47 59
NEW_BLOCK COLLIDE_BLOCK 47 60
NEW_BLOCK COLLIDE_BLOCK 47 61
NEW_BLOCK COLLIDE_BLOCK 47 62
NEW_BLOCK COLLIDE_BLOCK 47 63
NEW_BLOCK COLLIDE_BLOCK 47 64
NEW_BLOCK COLLIDE_BLOCK 47 65
NEW_BLOCK COLLIDE_BLOCK 47 66
NEW_BLOCK COLLIDE_BLOCK 47 67
NEW_BLOCK COLLIDE_BLOCK 47 68
NEW_BLOCK COLLIDE_BLOCK 47 69
NEW_BLOCK COLLIDE_BLOCK 47 70
NEW_BLOCK COLLIDE_BLOCK 47 71
NEW_BLOCK COLLIDE_BLOCK 47 72
NEW_BLOCK COLLIDE_BLOCK 47 73
NEW_BLOCK COLLIDE_BLOCK 47 74
NEW_BLOCK COLLIDE_BLOCK 47 75
NEW_BLOCK COLLIDE_BLOCK 47 76
NEW_BLOCK COLLIDE_BLOCK 47 77
NEW_BLOCK COLLIDE_BLOCK 47 78
NEW_BLOCK COLLIDE_BLOCK 47 79
NEW_BLOCK COLLIDE_BLOCK 47 80
NEW_BLOCK COLLIDE_BLOCK 47 81
NEW_BLOCK COLLIDE_BLOCK 47 82
NEW_BLOCK COLLIDE_BLOCK 47 83
NEW_BLOCK COLLIDE_BLOCK 47 84
NEW_BLOCK COLLIDE_BLOCK 47 85
NEW_BLOCK COLLIDE_BLOCK 47 86
NEW_BLOCK COLLIDE_BLOCK 47 87
NEW_BLOCK COLLIDE_BLOCK 47 88
NEW_BLOCK COLLIDE_BLOCK 47 89
NEW_BLOCK COLLIDE_BLOCK 47 90
NEW_BLOCK COLLIDE_BLOCK 47 91
NEW_BLOCK COLLIDE_BLOCK 47 92
NEW_BLOCK COLLIDE_BLOCK 47 93
NEW_BLOCK COLLIDE_BLOCK 47 94
NEW_BLOCK COLLIDE_BLOCK 47 95
NEW_BLOCK COLLIDE_BLOCK 47 96
NEW_BLOCK COLLIDE_BLOCK 47 97
NEW_BLOCK COLLIDE_BLOCK 47 98
